óLñ≥,éÌóﬁ,BmpNo,X,Y,OFF[0],OFF[1],ÉÇÅ[Éh,
ON,MoveFloor,50,224,7,2,0,GIMMICK_MODE_WAVE,
ON,Pendulum,100,58.5,5,0,0,GIMMICK_MODE_LEFTRIGHT,
ON,CircularSaws,10,208,8,0,0,GIMMICK_MODE_LEFTRIGHT,
ON,CircularSaws,11,218.5,3,1,0,GIMMICK_MODE_CYCLE,
ON,CircularSaws,12,240,4,1,0,GIMMICK_MODE_WAVE,
ON,Cloud,150,232,6,0,0,GIMMICK_MODE_STAY,
ON,Cloud,151,235,6,0,90,GIMMICK_MODE_STAY,
ON,Cloud,152,238,6,0,40,GIMMICK_MODE_STAY,
ON,Cloud,153,242,6,0,20,GIMMICK_MODE_STAY,
ON,Cloud,154,246,6,0,130,GIMMICK_MODE_STAY,
ON,Cloud,155,255,4,0,0,GIMMICK_MODE_STAY,
ON,Cloud,156,278,4,0,0,GIMMICK_MODE_STAY,
ON,Cloud,157,281,1,0,90,GIMMICK_MODE_STAY,
ON,Shocker,400,234,0,448,0,GIMMICK_MODE_UPDOWN,
ON,Shocker,401,237,0,448,0,GIMMICK_MODE_UPDOWN,
ON,Shooter,200,208,3,1,0,GIMMICK_MODE_STAY,
ON,Shooter,201,281,6,1,0,GIMMICK_MODE_STAY,
ON,Grass,250,10,8,0,0,GIMMICK_MODE_STAY,
ON,Grass,251,11,8,0,4,GIMMICK_MODE_STAY,
ON,Grass,252,16,8,0,2,GIMMICK_MODE_STAY,
ON,Grass,253,20,8,0,0,GIMMICK_MODE_STAY,
ON,Grass,254,21,8,0,4,GIMMICK_MODE_STAY,
ON,Grass,255,23,8,0,7,GIMMICK_MODE_STAY,
ON,SpeedUp,450,288,0,0,0,GIMMICK_MODE_STAY,
ON,SpeedUp,451,317,8,0,0,GIMMICK_MODE_STAY,
ON,SpeedUp,452,332,4,0,0,GIMMICK_MODE_STAY,
ON,Board,310,15,7.7,0,0,GIMMICK_MODE_STAY,
ON,Board,311,53,4.7,0,0,GIMMICK_MODE_STAY,
ON,Board,313,122,0.7,0,0,GIMMICK_MODE_STAY,
ON,Board,314,342,0.7,0,0,GIMMICK_MODE_STAY,
ON,Board,315,374,0.7,0,0,GIMMICK_MODE_STAY,
ON,Fountain,300,363,5.25,12,0,GIMMICK_MODE_STAY,
